Client ID,Active customers
CID310001,Abilene ISD
CID310002,Absolute Software Corporation
CID310003,"Academy of Accelerated Learning, Inc"
CID310004,Alief ISD
CID310005,All-Tex Networking Solutions
CID310006,Alvarado ISD
CID310007,Amarillo ISD
CID310008,American Surgical Professionals
CID310009,Angelo State University
CID310010,Annunciation Orthodox School
CID310011,Applied Training Solutions
CID310012,Arlington ISD
CID310014,Austin Community College
CID310015,Austin Energy / City of Austin
CID310016,Austin ISD
CID310017,Awty International
CID310018,Aztec Systems
CID310019,Barbers Hill ISD
CID310020,Bastrop ISD
CID310021,Beaumont ISD
CID310022,Bellville ISD
CID310023,Better Business Bureau
CID310024,Bexar County
CID310025,Boerne ISD
CID310026,Brazosport ISD
CID310027,Bridge City ISD
CID310028,BridgeNet Communications
CID310029,Brownsville ISD
CID310030,Brownsville Public Utilities
CID310031,Bryan ISD
CID310032,BTU - Bryan Texas Utilities
CID310033,Buffalo ISD
CID310034,Buna ISD
CID310035,C&J Energy Services Inc
CID310036,Camden Development
CID310037,"CCS Midstream Services, LLC"
CID310038,Cedar Hill ISD
CID310039,Cemex
CID310040,Central Bank
CID310041,Cisco Systems Capital Corporation
CID310042,Cisco Systems International BV
CID310043,City of Austin
CID310044,City of Bryan
CID310045,City of El Paso
CID310046,City Of Grapevine
CID310047,City of Houston Info Tech Services
CID310048,City of Manor
CID310049,City of McAllen
CID310050,City of New Braunfels
CID310051,City of San Benito
CID310052,City of Watauga
CID310053,College Forward
CID310054,College Station ISD
CID310055,Collin County - Texas
CID310056,Comal ISD
CID310057,Comfort ISD
CID310059,Conroe ISD
CID310060,Corpus Christi ISD
CID310061,"Crescent Real Estate Equities, LLC"
CID310062,Crosby ISD
CID310063,Curves International Inc.
CID310064,Cypress-Fairbanks ISD
CID310065,Dallas College
CID310066,Dallas ISD
CID310067,Datavox
CID310069,Denton County Transportation Authority
CID310070,Department of State Health Services
CID310071,Dept of Aging & Disability Services
CID310072,DFW International Airport
CID310073,Dickinson ISD
CID310074,Don Durden Civil Engineering
CID310075,Donna ISD
CID310076,East Central ISD
CID310077,Edinburg CISD
CID310078,Region 12  Education Service Center
CID310079,El Paso County
CID310080,EL PASO ISD
CID310081,"Electronic Power Design, Inc."
CID310082,EMPLOYEES RETIREMENT SYSTEM OF TEXAS
CID310083,Enbridge Energy
CID310084,ENERGIZED FOR EXCELLENCE ACADEMY
